Age,Sleep_Hours,Screen_Time,Stress_Level,Noise_Exposure,Social_Interaction,Work_Hours,Exercise_Hours,Caffeine_Intake,Multitasking_Habit,Anxiety_Score,Depression_Score,Sensory_Sensitivity,Meditation_Habit,Overthinking_Score,Irritability_Score,Headache_Frequency,Sleep_Quality,Tech_Usage_Hours,Heart_Rate,Overstimulated,screen_per_sleep,stress_sleep_inter,tech_per_work,caff_headache,high_stress_flag,low_sleep_flag,hr_age_ratio,log_Screen_Time,sqrt_Tech_Usage_Hours,hr_bin
24.0,6.477368012,10.45774142,9,2,5,7,2.358846922,2,0,2,7,1,1,5,5,6,4,6.888934452,85.7,1,1.6145045003034326,58.296312108,0.9841333525523782,12,1,0,3.570833184548617,2.4386656080934017,2.6246779711042647,2
25.0,9.914498642,5.47485281,2,3,4,12,2.257326019,3,0,7,5,1,1,4,2,5,2,6.91946811,77.0,0,0.5522066677785049,19.828997284,0.5766222944481422,15,0,0,3.079999876800005,1.8679258752808925,2.6304881885307907,1
21.0,7.847053059,11.46589308,5,1,9,12,0.072398336,2,1,6,5,4,1,2,3,0,1,3.693880234,78.3,1,1.4611716694941659,39.235265295000005,0.3078233271813894,0,0,0,3.728571251020416,2.5229963614206294,1.9219469904240334,1
19.0,9.938791956,2.930407901,1,4,4,9,1.831235582,1,1,2,7,0,1,5,9,1,4,2.705332625,68.2,0,0.29484545195510165,9.938791956,0.3005924804897244,1,0,0,3.5894734952908687,1.3687432120982477,1.6447895382084603,0
23.0,3.898760026,7.245000497,6,1,8,6,2.192016037,1,0,2,8,0,0,3,1,0,3,1.692692598,81.2,1,1.8582827848859285,23.392560156000002,0.282115385980769,0,0,1,3.530434629111538,2.1096070162905174,1.3010352024445764,1
21.0,8.07037172,6.385869083,3,1,0,7,2.036345083,0,0,8,5,3,1,8,2,6,3,3.556462218,73.2,0,0.7912731300717423,24.211115160000002,0.5080659585620059,0,0,0,3.485714119727899,1.9995685912529728,1.8858584830257015,1
27.0,9.259336123,8.278339856,5,4,5,10,2.697435865,1,0,7,5,0,0,4,6,3,4,4.333006702,78.5,1,0.894053186100847,46.296680615,0.4333006268699373,3,0,0,2.9074072997256555,2.227682635966935,2.0815875436791025,1
25.0,3.485966899,3.405807804,8,0,5,4,0.678912858,1,0,1,3,4,1,1,9,1,1,9.516601913,92.4,1,0.9770049245080555,27.887735192,2.3791498834625293,1,1,1,3.695999852160006,1.4829236260033802,3.084899011799252,2
18.0,7.632874329,10.29632937,6,3,1,5,0.204797598,4,0,4,9,3,1,8,7,5,4,7.568679223,78.5,1,1.3489450470755882,45.797245974,1.5137355418528917,20,0,0,4.361110868827174,2.424477838434862,2.7511232656862177,1
24.0,8.114553572,2.926354541,8,1,0,14,0.737693801,0,0,9,2,1,1,3,2,5,1,1.515679978,87.3,1,0.3606303359025583,64.916428576,0.10826284783836802,0,1,0,3.637499848437506,1.3677113976862585,1.231129553702615,2
26.0,6.256439286,8.400410759,3,0,2,9,1.430135796,0,0,3,7,1,0,5,8,0,1,1.201859816,76.9,1,1.3426821603008903,18.769317858,0.1335399647177817,0,0,0,2.957692193934916,2.240753386087196,1.0962936723341972,1
18.0,6.936077711,3.40028288,5,1,2,11,2.171952796,4,0,1,6,4,0,8,9,1,3,7.229532494,75.2,0,0.4902312995104071,34.680388555,0.6572301669790758,4,0,0,4.177777545679025,1.4816688297667344,2.688778996868281,1
25.0,9.703376992,10.61478951,8,3,3,7,1.985848759,0,1,6,4,2,0,2,6,5,2,3.973761346,81.3,1,1.093927240467332,77.627015936,0.5676801111885555,0,1,0,3.251999869920005,2.4522792438024585,1.9934295437762528,1
28.0,7.830034236,3.895720812,8,3,4,11,2.013337495,1,0,1,4,4,1,9,9,5,4,6.989123287,88.0,1,0.4975355403368711,62.640273888,0.6353747865113831,5,1,0,3.142857030612249,1.588361519891302,2.6436950064256655,2
25.0,6.750793791,10.57735938,9,4,0,11,1.758716016,1,1,2,7,4,0,4,8,3,4,1.895370532,87.3,1,1.5668317150006523,60.757144119,0.17230639633578218,3,1,0,3.4919998603200053,2.449051413326215,1.3767245664983248,2
22.0,5.43300067,2.672534242,4,1,4,10,2.422666653,3,0,3,2,1,0,2,1,5,2,3.929508126,82.0,0,0.4919074950330357,21.73200268,0.3929507733049227,15,0,0,3.727272557851247,1.3008819529162334,1.9822986974722048,1
24.0,5.795211411,11.12813615,7,0,5,7,2.236357241,0,0,4,2,3,0,1,8,6,3,3.331500359,80.5,1,1.9202292100419782,40.566479877000006,0.4759285547244922,0,1,0,3.354166526909728,2.495528054925394,1.8252398086278965,1
26.0,4.066912093,1.44065031,9,3,0,8,1.902570231,0,1,6,4,2,0,6,9,3,3,7.079406585,84.7,1,0.35423680739075974,36.602208837,0.884925712509286,0,1,1,3.2576921823964544,0.8922645242866368,2.660715427286428,1
25.0,9.947384515,4.206070048,8,1,0,13,2.317604388,4,1,3,7,0,1,2,5,0,3,4.299272812,83.3,1,0.4228317120772614,79.57907612,0.3307132677912871,0,1,0,3.3319998667200053,1.649825261725802,2.073468787322346,1
29.0,9.489006775,3.282950298,6,4,8,4,0.974036869,3,1,1,6,0,0,2,2,0,4,5.334365561,79.1,0,0.34597403393949694,56.93404065,1.3335910568522358,0,0,0,2.7275861128418577,1.4546420940830622,2.309624549791589,1
18.0,3.253122664,9.463937835,7,2,0,12,1.293737374,1,1,9,4,4,1,2,2,3,1,7.204613421,81.4,1,2.9091847751533857,22.771858648000002,0.6003844017179666,3,1,1,4.522221970987668,2.3479348538523945,2.684141095583464,1
20.0,3.613499227,1.335100549,9,0,0,9,1.312846886,1,0,1,1,4,1,1,6,2,3,6.216057216,93.1,1,0.36947570641456057,32.521493043,0.6906729472585615,2,1,1,4.654999767250011,0.8480549518639692,2.4932022011862576,2
18.0,9.558704761,3.248932097,2,2,2,7,2.904684153,1,0,5,4,0,1,7,1,4,3,2.250594292,69.5,0,0.33989246852390903,19.117409522,0.3215134243552251,4,0,0,3.86111089660495,1.446667680068287,1.5001980842542095,0
22.0,6.876615685,4.744527117,9,4,6,7,2.862467008,3,1,4,9,3,1,2,7,3,3,5.138335213,88.2,1,0.6899507903863918,61.889541165,0.7340477827074596,9,1,0,4.009090726859513,1.7482475958154162,2.2667896269835013,2
26.0,6.609755994,6.514032091,4,2,6,13,0.709421152,4,1,4,4,3,1,9,1,1,1,7.15006678,77.7,0,0.9855176365656264,26.439023976,0.5500050946149928,4,0,0,2.9884614235207145,2.0167722179704453,2.673960878547029,1
30.0,4.459573601,10.23098434,6,0,8,5,2.632916615,0,1,9,9,1,1,2,2,4,1,6.490763622,82.6,1,2.294161496413994,26.757441606,1.298152464769507,0,0,1,2.7533332415555583,2.4186764176250164,2.547697710090426,1
21.0,5.664363054,3.612264124,7,4,5,6,1.002590135,2,0,3,4,2,0,5,5,2,2,1.720264872,85.1,0,0.6377175071311192,39.650541378,0.2867107642148726,4,1,0,4.05238075941044,1.5287188696308474,1.3115886824763319,2
30.0,4.214671605,9.815903538,1,2,2,11,0.95328152,1,0,6,3,3,0,6,7,0,3,1.095469728,68.0,1,2.3289836383388547,4.214671605,0.09958814803744111,0,0,1,2.2666665911111137,2.3810176008066968,1.0466468974778458,0
24.0,5.422698086,9.258466141,1,0,3,7,2.636250417,3,0,8,6,4,1,7,9,0,1,5.818094643,70.7,1,1.7073538461507027,5.422698086,0.8311562588348201,0,0,0,2.945833210590283,2.3281033296386697,2.41207268609385,1
19.0,8.757363945,3.606266574,4,4,5,6,0.10681568,3,0,6,5,3,1,9,2,2,2,1.723754291,76.5,0,0.41179813752754374,35.02945578,0.2872923339512777,6,0,0,4.026315577562338,1.5274176751037176,1.3129182346970432,1
23.0,9.034101376,7.223597103,3,4,5,10,1.846525666,1,1,9,7,0,1,9,2,4,4,1.154120858,72.7,0,0.7995921235285325,27.102304128,0.11541207425879257,4,0,0,3.1608694277882856,2.1070077171187718,1.0743001712743045,1
28.0,4.223870391,10.09544417,8,2,5,10,0.627254526,4,1,2,2,4,1,3,5,1,1,3.352152911,89.2,1,2.3900926982556414,33.790963128,0.33521525757847426,4,1,1,3.1857141719387796,2.406534588931599,1.8308885577773433,2
18.0,3.477206166,1.331142594,1,0,5,9,2.21016728,3,1,9,1,4,1,8,7,2,4,7.73908424,75.2,1,0.3828194670182041,3.477206166,0.8598981533446497,6,0,1,4.177777545679025,0.8463585310698082,2.7819209622129812,1
30.0,3.946164024,8.346546974,6,4,4,11,1.270009327,2,1,7,1,2,1,8,2,6,1,4.40979188,79.4,1,2.115103378403467,23.676984144000002,0.40089013446453325,12,0,1,2.6466665784444476,2.2350069674961692,2.0999504470344057,1
20.0,6.846706751,3.920460482,2,0,9,8,0.218751036,1,0,8,7,0,0,8,1,1,3,7.76076862,72.3,0,0.5726052030521377,13.693413502,0.9700959562380056,1,0,0,3.614999819250009,1.5934021200270199,2.785815611270782,1
23.0,6.027485148,8.463499651,3,0,7,7,0.645698196,2,1,4,6,1,0,8,5,1,3,5.637659912,78.7,1,1.4041508255988777,18.082455444,0.805379872374304,2,0,0,3.4217389816635224,2.2474422566183025,2.3743756888917136,1
25.0,5.182712932,4.493046703,4,2,9,12,0.972083867,4,0,9,6,1,0,9,4,0,2,7.875162213,79.7,0,0.8669293273661626,20.730851728,0.6562634630613782,0,0,0,3.187999872480005,1.7034830565999628,2.806271942096845,1
26.0,6.07658182,11.41877609,3,0,1,9,2.347965033,0,0,7,5,0,0,9,6,4,1,1.815494688,72.6,1,1.8791443198004498,18.22974546,0.20172160958648785,0,0,0,2.792307584911246,2.5192095281713445,1.347402941959086,1
29.0,3.407146569,11.89119731,7,0,2,13,1.339797904,4,0,4,4,0,0,7,3,5,4,1.576233398,87.7,1,3.4900740485068202,23.850025983000002,0.12124871359625282,20,1,1,3.024137826753868,2.5565446993712926,1.2554813411596366,2
19.0,3.404463927,4.739690502,1,3,4,5,0.31303984,0,1,7,9,1,1,3,4,2,3,3.795251757,68.7,1,1.392198364098465,3.404463927,0.75905019958996,0,0,1,3.6157892833795113,1.7474052893655707,1.948140589639259,0
20.0,7.865246602,1.868333432,5,1,7,9,0.225475696,0,1,7,8,0,0,6,9,4,3,6.086100559,76.8,0,0.23754286279873937,39.32623301,0.6762333203074089,0,0,0,3.8399998080000093,1.053731175393998,2.467002342722844,1
19.0,3.995745581,4.777253724,7,4,5,12,2.512557946,1,1,9,4,3,0,3,6,1,3,1.64601985,87.6,1,1.195584761735419,27.970219067,0.1371683094026409,1,1,1,4.610526073130206,1.753928435516183,1.2829730511589088,2
19.0,3.849694576,10.18028969,4,2,1,5,0.550689735,4,0,6,5,4,0,2,1,4,1,5.022597581,88.7,1,2.6444401872882013,15.398778304,1.004519315296137,16,0,1,4.66842080692522,2.4141523788402734,2.2411152538412655,2
18.0,9.976877977,2.015965809,8,3,5,14,2.539964741,4,0,4,2,2,1,5,3,2,1,3.108586685,87.3,1,0.20206377301433315,79.815023816,0.22204189021129359,8,1,0,4.84999973055557,1.103920113542989,1.7631184546138696,2
19.0,7.306536068,7.547341175,6,4,7,12,1.811542096,0,1,1,1,3,0,5,8,2,1,4.438298044,83.8,0,1.0329573510349568,43.839216408,0.3698581395118217,0,0,0,4.410526083656522,2.1456202609021156,2.10672685557478,1
23.0,6.689290247,5.9138598,7,1,6,7,2.771481619,2,0,8,5,1,1,1,1,5,4,2.996822896,86.1,0,0.884078683620217,46.825031728999996,0.42811749541178634,10,1,0,3.7434780981096476,1.933528063596412,1.7311334136917351,2
21.0,3.914972637,3.713244774,3,4,8,13,2.462347348,1,0,6,9,2,0,7,7,2,1,4.845402233,75.7,1,0.9484724849502224,11.744917911,0.37272322002129077,2,0,1,3.604761733106584,1.5503765825148885,2.2012274378173644,1
28.0,9.206229507,6.180562777,1,2,6,11,0.177010002,0,1,4,3,2,0,6,3,1,2,3.250720568,69.5,0,0.6713456470919972,9.206229507,0.2955200247709069,0,0,0,2.482142768494901,1.9713777611862588,1.8029754762613939,0
22.0,5.898908268,7.35680224,8,4,0,13,0.159990205,1,1,9,5,4,1,9,2,4,3,4.874776388,90.0,1,1.247146193603736,47.191266144,0.3749827702320946,4,1,0,4.0909089049586855,2.123075846745046,2.2078895778548344,2
23.0,8.135300664,9.99148632,5,1,4,4,2.556032548,3,1,3,1,1,0,8,6,2,4,9.513840407,79.2,1,1.2281642073844552,40.67650332,2.378459507135123,6,0,0,3.4434781111531256,2.3971210022191616,3.084451394818858,1
28.0,3.077218851,1.611660738,4,0,5,5,2.541648503,0,1,6,4,3,0,4,1,0,3,4.127566367,82.5,1,0.5237392243769196,12.308875404,0.8255131082973783,0,0,1,2.946428466198983,0.9599863170671,2.0316412988025223,1
26.0,3.134345938,8.298759533,4,3,4,10,2.908418461,1,1,6,6,1,1,6,4,0,1,1.972618747,78.7,1,2.647683775011635,12.537383752,0.19726185497381452,0,0,1,3.026922960502963,2.2298810077144466,1.4044994649340383,1
23.0,4.818692461,5.523172378,4,4,7,13,1.50770093,1,0,5,2,3,0,3,1,0,4,3.544370057,79.2,1,1.1461970807443316,19.274769844,0.2726438295658593,0,0,1,3.4434781111531256,1.8753608186490645,1.8826497435795113,1
20.0,6.74717092,10.85119133,2,1,5,12,2.92631487,3,0,8,8,3,0,3,5,1,3,6.476990328,71.6,1,1.608257720221245,13.49434184,0.5397491490209043,3,0,0,3.5799998210000084,2.472428396705134,2.544993188203065,1
20.0,8.610759783,3.096708164,5,1,8,14,2.328844992,1,0,4,3,3,1,5,6,1,1,4.805241674,79.2,0,0.35963235328912513,43.053798915,0.3432315236263198,1,0,0,3.95999980200001,1.4101837643947386,2.192086146573624,1
24.0,6.835716423,10.14044088,6,3,5,10,1.564465865,0,1,9,3,4,0,5,7,5,4,5.143725807,78.2,1,1.48344939565241,41.014298538,0.5143725292627471,0,0,0,3.25833319756945,2.4105818100176326,2.2679783524099166,1
18.0,8.161499542,7.556901508,2,1,9,11,0.992888713,3,1,5,5,3,0,3,9,5,1,5.042235254,70.5,0,0.9259206035840267,16.322999084,0.4583849814195472,15,0,0,3.916666449074086,2.146738151260993,2.2454922075126427,1
28.0,6.332126906,5.772283151,4,1,6,10,0.50691645,2,0,5,8,2,0,4,1,3,2,4.095876754,79.6,0,0.9115866319646638,25.328507624,0.4095876344412366,6,0,0,2.8428570413265337,1.9128382754168733,2.0238272539918025,1
24.0,5.20784827,11.24710406,9,3,8,4,2.550632945,3,0,1,5,1,0,9,2,4,3,2.092455479,93.5,1,2.1596446972437047,46.87063443,0.5231137389715652,12,1,0,3.895833171006951,2.5052895057777733,1.4465322253582877,2
19.0,4.782694354,8.227335481,2,0,6,5,0.52742965,0,1,9,5,0,1,2,4,3,2,2.945483833,71.7,1,1.7202298854596876,9.565388708,0.5890966487806703,0,0,1,3.7736840119113677,2.2221703265568973,1.716241193131082,1
18.0,8.886101056,10.88225113,4,1,2,11,0.967735184,1,0,2,4,1,0,3,8,4,2,6.06547446,74.6,1,1.2246371987875357,35.544404224,0.5514067189630256,4,0,0,4.144444214197543,2.475045785040954,2.462818397689931,1
29.0,3.268984443,5.39470663,7,2,0,4,0.202658649,3,1,9,7,2,0,9,5,1,3,7.902870838,94.2,1,1.6502693952192065,22.882891101,1.9757172155706961,3,1,1,3.248275750059457,1.855470559076253,2.8112045172843616,2
22.0,9.312333945,4.594741764,7,1,7,5,0.098722569,2,0,7,6,0,1,9,5,3,2,2.141713213,82.2,0,0.49340383385447484,65.186337615,0.4283425569314886,6,1,0,3.736363466528933,1.7218271859176695,1.4634593308322579,1
26.0,7.615477455,9.810787704,1,1,6,13,1.588764608,3,1,1,7,3,1,3,3,6,2,7.546492239,66.3,1,1.2882693795238374,7.615477455,0.5804993583462033,18,0,0,2.5499999019230803,2.3805444970814733,2.747087956181964,0
20.0,6.628856154,11.7862505,1,1,5,8,2.022068983,1,0,6,9,1,1,1,6,1,2,4.017577386,65.3,1,1.7780214939294494,6.628856154,0.5021971104753613,1,0,0,3.264999836750008,2.548370413893586,2.0043895295076752,0
28.0,3.291710304,1.356877907,9,0,3,7,1.850172338,2,0,1,9,1,0,4,8,5,4,6.284677023,98.4,1,0.4122104831463069,29.625392736,0.8978108750270178,10,1,1,3.5142855887755147,0.8573378224426117,2.5069258112277675,2
25.0,3.593544112,8.245894026,2,4,0,13,0.027329832,3,1,8,6,3,0,2,1,3,2,6.377979573,77.7,1,2.2946404647778915,7.187088224,0.49061377556817115,9,0,1,3.107999875680005,2.224179563895331,2.525466209039432,1
19.0,4.296368975,4.822706748,2,0,7,4,1.898185158,2,0,9,3,2,0,7,4,1,2,6.915392669,76.0,1,1.1225073203803868,8.59273795,1.7288477350380662,2,0,1,3.999999789473695,1.7617652306045144,2.6297134195573477,1
21.0,3.146614727,7.75367337,6,3,1,9,0.505810984,2,1,3,3,3,0,9,3,3,3,9.845849342,87.1,1,2.4641310038173594,18.879688362,1.0939831386685401,6,0,1,4.147618850113387,2.169473425986687,3.1378096408163447,2
25.0,7.372644982,10.02765777,5,1,7,11,2.513272336,2,0,5,7,4,0,3,5,4,3,5.978421054,76.2,1,1.360116543569581,36.86322491,0.5434927736824752,8,0,0,3.047999878080005,2.400406459854487,2.4450809912966074,1
24.0,5.673577478,6.250854379,8,3,8,12,2.882220329,2,1,6,3,2,0,1,2,1,2,4.917505984,83.8,1,1.1017481124546806,45.388619824,0.4097921311839891,2,1,0,3.4916665211805613,1.9811193073026725,2.21754503539387,1
20.0,4.439810835,4.859010203,2,0,4,7,0.122661292,2,1,1,4,1,1,6,9,5,4,7.434532496,72.3,1,1.0944180482369474,8.87962167,1.0620759191320115,10,0,1,3.614999819250009,1.7679806819845865,2.7266339130877104,1
29.0,8.422436464,4.609974311,5,0,6,13,2.446656762,2,1,8,9,3,1,8,6,3,2,9.056194726,78.5,0,0.5473444392676586,42.11218232,0.6966303099515146,6,0,0,2.7068964583828805,1.7245461403797357,3.00935121346778,1
25.0,5.049754257,3.433625661,9,2,0,14,1.937131034,0,1,8,3,0,1,3,5,5,2,3.648309093,88.0,1,0.6799588269630075,45.447788313000004,0.2605934880290366,0,1,0,3.5199998592000057,1.489217682957175,1.910054735603145,2
22.0,9.496585482,11.27124365,7,2,5,12,1.874198556,0,1,7,7,0,1,9,6,1,2,3.566133164,80.8,1,1.186873164516926,66.476098374,0.2971777389018551,0,1,0,3.6727271057851314,2.5072586105547647,1.88842081221321,1
21.0,5.605169167,6.84729368,9,3,2,5,0.629479749,4,1,8,1,3,1,6,9,2,1,5.864478922,95.8,1,1.2216031763518804,50.446522503,1.17289554982089,8,1,0,4.561904544671211,2.060168718212819,2.421668623490836,2
23.0,3.850509634,11.68265998,5,4,7,6,0.617174483,2,1,7,4,4,0,1,7,5,3,7.427133395,79.8,1,3.0340547242856934,19.252548169999997,1.2378553595241069,10,0,1,3.4695650665406492,2.540235704611359,2.7252767556708806,1
20.0,8.09943474,10.17008412,5,0,2,11,2.571601003,4,0,1,7,0,1,9,9,4,4,8.109187754,80.5,1,1.255653411727667,40.4971737,0.7371988197091983,16,0,0,4.0249997987500095,2.413239143939055,2.847663560535198,1
20.0,9.892688177,2.1646175,2,0,8,8,1.381280467,1,0,2,5,0,1,5,2,1,4,8.677030865,72.3,0,0.21880981614510095,19.785376354,1.08462872254641,1,0,0,3.614999819250009,1.1520321952122488,2.945680034389343,1
19.0,8.724497309,5.34785247,8,1,8,7,1.924382557,2,1,5,6,4,1,1,9,3,3,8.546138547,83.7,1,0.6129696265151744,69.795978472,1.2208767608747484,6,1,0,4.405262926038794,1.8481165620034263,2.9233779343423936,1
19.0,8.884921196,10.10032365,5,0,4,13,1.734922888,3,1,4,3,3,0,4,7,6,1,6.14242988,82.0,1,1.1367937081708126,44.42460598,0.47249456980811005,18,0,0,4.315789246537408,2.4069742655508697,2.4783926000535104,1
26.0,5.082839159,7.127445646,9,0,3,4,0.385760439,2,0,3,1,3,1,9,3,4,2,7.54578996,86.4,1,1.4022564989339064,45.745552431,1.8864470183882451,8,1,0,3.323076795266277,2.095246685508227,2.746960130762731,2
30.0,3.065321339,11.08062599,3,1,0,10,2.919840455,4,1,2,8,0,0,6,4,4,1,9.376734388,80.0,1,3.614832231188721,9.195964017,0.9376733450326655,16,0,1,2.6666665777777805,2.491603011528279,3.0621453897553588,1
24.0,4.726752052,7.989557925,7,4,9,4,1.049992569,2,1,8,7,4,0,4,8,3,2,2.131214622,87.9,1,1.6902846070241453,33.087264364,0.5328035222991194,6,1,1,3.6624998473958397,2.1960636731921306,1.4598680152671337,2
18.0,3.694246697,9.276376705,2,2,7,12,2.594141889,0,1,3,1,0,0,5,7,0,1,4.075480382,64.0,1,2.5110326826577163,7.388493394,0.33962333686472196,0,0,1,3.5555553580247024,2.329847737295069,2.0187819055063874,0
25.0,5.810460211,6.844234202,7,4,2,9,0.201202955,3,0,7,6,0,1,8,1,1,4,2.668446096,90.2,0,1.177915823453554,40.673221477,0.2964939777228914,3,1,0,3.607999855680006,2.0597787653590527,1.6335379077327834,2
29.0,6.885594645,9.046461104,3,3,1,14,0.016989002,3,1,5,5,1,1,9,9,2,2,5.922291652,80.2,1,1.3138240423062193,20.656783935,0.42302080206994275,6,0,0,2.7655171460166503,2.3072204435379025,2.4335758981383755,1
19.0,8.486542491,10.291325,7,2,5,6,1.641183644,2,1,2,2,2,0,4,6,0,4,7.038938323,85.4,1,1.2126639085646562,59.405797437,1.1731561916406348,0,1,0,4.4947366055401785,2.4240347317713806,2.6530997574535338,2
23.0,5.575585259,4.393151096,1,0,7,14,1.295092337,0,1,2,5,4,0,5,2,5,1,8.718808135,73.0,0,0.7879263080019009,5.575585259,0.6227719651591453,0,0,0,3.1739129054820476,1.6851298330217703,2.952762796941197,1
25.0,9.136555333,3.991984659,2,0,7,13,1.492143433,2,0,3,4,1,1,7,3,4,1,6.61680665,65.3,0,0.4369244290194429,18.273110666,0.5089850877703779,8,0,0,2.611999895520004,1.6078335579454173,2.572315425837197,0
22.0,9.974340363,1.070169477,5,0,5,12,0.444332775,0,1,4,4,0,0,5,5,6,1,6.031182283,79.3,0,0.10729224497667718,49.871701814999994,0.5025984817001266,0,0,0,3.6045452907024864,0.7276304768727309,2.455846551191666,1
21.0,6.140274417,11.62321931,1,1,2,14,1.261771722,0,1,9,1,3,0,2,7,3,3,9.371715647,74.3,1,1.8929475504991016,6.140274417,0.6694082126851277,0,0,0,3.53809506961452,2.5355379204612016,3.0613257988982485,1
23.0,8.054496567,5.346708272,1,4,3,8,2.295006972,3,1,5,4,0,1,2,4,0,1,6.899833283,69.0,0,0.6638164860718246,8.054496567,0.8624790525651186,0,0,0,2.999999869565223,1.8479362961358075,2.6267533730824444,0
30.0,3.022527845,5.402335034,2,2,5,14,2.806187863,0,1,7,6,0,1,2,9,1,4,6.255774672,72.1,1,1.7873559893189372,6.04505569,0.4468410160827846,0,0,1,2.4033332532222245,1.8566627728868914,2.5011546677484784,1
26.0,6.924620661,7.850287436,6,1,7,13,0.047323169,1,0,2,6,1,1,5,8,2,1,4.999415092,76.5,0,1.1336774513203258,41.547723966,0.38457036210997214,2,0,0,2.942307579142016,2.180449937136486,2.235937184269719,1
29.0,7.224413666,3.44943687,7,4,5,8,2.471955175,4,1,7,2,4,0,4,7,6,3,8.806000898,81.2,0,0.4774693908745243,50.570895662,1.1007499746562535,24,1,0,2.799999903448279,1.4927775421031038,2.967490673616347,1
18.0,7.735275561,4.379380587,3,4,3,9,2.636402874,4,1,2,7,2,1,1,4,6,2,4.3859528,78.7,0,0.566156950234995,23.205826682999998,0.4873280347413295,24,0,0,4.372221979321001,1.6825732350175537,2.0942666496890983,1
18.0,8.634922998,7.011043959,6,0,4,14,2.04561883,2,1,6,3,0,1,6,7,4,4,4.177278442,78.4,0,0.811940436374875,51.809537988,0.29837701025878505,8,0,0,4.35555531358026,2.080821084547846,2.043839142887718,1
18.0,3.409856505,9.330112761,2,1,4,6,0.385081839,4,0,4,2,4,0,3,4,3,2,5.530574306,76.8,1,2.736217788373535,6.81971301,0.9217622307062949,12,0,1,4.266666429629643,2.3350631989480584,2.351717309967335,1
